,축제명,주소,연락처,시작일,종료일,위도,경도
1123,청남대 국화축제 2019,충청북도 청주시 상당구 문의면 청남대길 646,043-257-5080,2019-10-19,2019-11-10,36.4622380327,127.4900889125
1124,청남대 영춘제 2019,충청북도 청주시 상당구 문의면 청남대길 646,043-257-5080,2019-04-20,2019-05-12,36.4622019444,127.4910888236
1125,청년울산대장정 U - Road 2019,울산광역시 남구 중앙로 201,-,2019-06-24,2019-07-03,35.5394956067,129.3113202772
1126,청도 프로방스 빛축제 2020,경상북도 청도군 화양읍 이슬미로 272-23,054-372-5050,2020-02-01,2020-10-31,35.6841432611,128.7182098166
1127,청도반시축제 2019,경상북도 청도군 화양읍 청려로 1846,054-370-2377,2019-10-11,2019-10-13,35.6482667623,128.7186468827
1128,청도세계코미디아트페스티벌 2019,경상북도 청도군 화양읍 청려로 1846,054-370-2377,2019-10-11,2019-10-13,35.6482667623,128.7186468827
1129,청룡문화제 2019,서울특별시 동대문구 청계천로,"02-2241-9300, 02-2127-4299",2019-10-26,2019-10-27,37.5732101344,127.0401652134
1130,청산 생선국수와 함께하는 백중씨름대회 2019,충청북도 옥천군 청산면 교평리 251-3,청산면사무소 043-730-4694,2019-04-13,2019-04-14,36.3428211000,127.7974202976
1131,청소년 가족 바다꿈 축제 2019,경상북도 영덕군 영덕읍 영덕대게로 911-44,054-730-8580,2019-07-26,2019-07-29,36.4209981722,129.4261403359
1132,청소년 무대 예술 페스티벌 2019,대구광역시 달서구 공원순환로 201,035-252-5670,2019-05-11,2019-05-18,35.8451165839,128.5594887553
1133,청소년 통일문화 경연대회 2019,서울특별시 서초구 남부순환로 2406,02-901-7076,2019-03-15,2019-04-19,37.4785261578,127.0107150202
1134,청소년아웃도어페스티벌 2019,강원도 평창군 용평면 새터마을길 108,033-330-0800,2019-08-08,2019-08-10,37.5832203036,128.4019859019
1135,청소년을 위한 공연예술축제 2019,서울특별시 중구 세종대로19길 16,1833-6432,2019-12-10,2019-12-28,37.5667930530,126.9756046108
1136,청주 국립현대미술관 '별 헤는 날: 나와 당신의 이야기' 2019,충청북도 청주시 청원구 상당로 314,043-261-1400,2018-12-27,2019-06-16,36.6591015777,127.4902390352
1137,청주문화재야행 2020,충청북도 청주시 상당구 성안로,043-219-1015 / 043-219-1131,2020-10-16,2020-10-17,36.6329101136,127.4888093316
1138,청주읍성큰잔치 2019,충청북도 청주시 상당구 상당로55번길 33 청주중앙공원,043-265-3624,2019-09-06,2019-09-08,36.6329017813,127.4887982220
1139,청춘열전 흥 페스티벌 2020,서울특별시 마포구 어울마당로 109,02-323-2257,2020-09-19,2020-09-20,37.5575514746,126.9205626669
1140,청춘페스티벌 2020,서울특별시 마포구 한강난지로 162,02-722-9303,2020-09-26,2020-09-27,37.5628196780,126.8854129455
1141,청평 슬로우파크 겨울송어축제 2020,경기도 가평군 청평면 청군로 70,031-584-0199,2019-12-24,2020-02-29,37.7497659835,127.4214031876
1142,청평설빙송어빙어축제 2020,경기도 가평군 청평면 강변로 17,031-584-2755,2019-12-28,2020-03-01,37.7346564825,127.4133710249
1143,청풍 호숫가 음악제 2019,충청북도 제천시 청풍면 문화재길 166,070-5208-8838,2019-09-21,2019-09-21,37.0013135287,128.1668019964
1144,체인지업캠퍼스 2019,경기도 파주시 탄현면 얼음실로 40,1588-0554,2019-05-04,2019-05-05,37.7849822726,126.7058703009
1145,최남단방어축제 2019,제주특별자치도 서귀포시 대정읍 하모리,064-794-8032,2019-11-21,2019-11-24,33.2196236638,126.2495532182
1146,최순우 옛집 시민축제 2019,서울특별시 성북구 성북로15길 9,02-3675-3401~2,2019-05-18,2019-05-31,37.5929293487,127.0003460596
1147,추석 농수특산물 서울장터 2019,서울특별시 중구 세종대로 110,02-2133-4462,2019-09-09,2019-09-10,37.5665986816,126.9783710306
1148,추석 전통놀이 한마당 2019,서울특별시 강동구 올림픽로 875,02-3425-6520,2019-09-13,2019-09-14,37.5605132450,127.1309239757
1149,추석특집 공연 2019,경상북도 경주시 교촌안길 19-17,054-777-6930,2019-09-13,2019-09-14,35.8307054434,129.2156176230
1150,추자도 참굴비대축제 2019,제주도 제주시 추자면,064-728-4265,2019-09-27,2019-09-29,33.9623308838,126.2956407849
1151,추풍령가요제 2019,충청북도 영동군 영동읍 영동황간로 123,043-742-2215,2019-08-31,2019-08-31,36.1658632849,127.7848346109
1152,춘장대해수욕장 여름문화예술축제 2019,충청남도 서천군 서면 춘장대길 20,041-950-4019,2019-08-02,2019-08-03,36.1632331925,126.5243389992
1153,춘천 드론페스티벌 2020,강원도 춘천시 서면 박사로 854,033-245-6000,2020-09-26,2020-09-27,37.8930876473,127.6918882316
1154,춘천레저대회 2020,강원 춘천시 송암동 297,033-250-4545,2020-08-29,2020-09-06,37.8554308826,127.6900284059
1155,춘천아트페스티벌 2020,강원도 춘천시 춘천로 112,033-251-0545,2020-08-14,2020-08-30,37.8729823203,127.7276939015
1156,춘천연극제 2020,강원도 춘천시 서부대성로 71,033-241-4345,2020-06-13,2020-06-20,37.8825368301,127.7312071874
1157,춘천인형극제 2020,강원도 춘천시 영서로 3017,033-242-8452,2020-07-04,2020-09-09,37.9215737485,127.7201820312
1158,춘천토이페스티벌 2019,강원도 춘천시 서면 박사로 854,033-245-6770,2019-10-03,2019-10-06,37.8930320971,127.6918410158
1159,충남독서대전 2020,충청남도 아산시 남부로 229,041-530-6603,2020-09-18,2020-09-19,36.7703884936,127.0056962280
1160,충무공 이순신 탄신 기념 행사 2019,서울특별시 중구 퇴계로34길 28,02-775-3001,2019-04-28,2019-04-28,37.5592859222,126.9939837047
1161,충주농산물 한마당 축제 2019,충청북도 충주시 남한강로 24,043-850-5721,2019-10-04,2019-10-06,36.9890989920,127.9059035430
1162,치매극복 실버합창대회 2019,서울특별시 광진구 능동로 209,02-425-5160,2019-09-20,2019-09-20,37.5514577128,127.0738627621
1163,치매극복의 날 2019,서울특별시 광진구 능동로 209,070-4808-3641,2019-09-20,2019-09-20,37.5514577128,127.0738627621
1164,치악산 배축제 2019,강원도 원주시 단계동 원주원예농협 하나로클럽 광장,010-5367-3457,2019-11-01,2019-11-03,37.3526826000,127.9344321379
1165,칠갑산얼음분수축제 2020,충청남도 청양군 정산면 천장호길 175-11,041-942-0797~8,2019-12-21,2020-02-16,36.4094728367,126.9160529131
1166,칠곡세계인형음악극축제 2019,경상북도 칠곡군 왜관읍 관문로1길 32,054-971-1066~7,2019-08-22,2019-08-25,35.9919528831,128.4171638991
1167,캐릭터 라이선싱 페어 2019,서울특별시 강남구 영동대로 513,02-6000-8570~1,2019-07-17,2019-07-21,37.5117592813,127.0591874466
1168,캠핑&피크닉페어 2020,경기도 고양시 일산서구 킨텍스로 217-59,02-796-8710,2020-07-02,2020-07-05,37.6650330327,126.7435146865
1169,케이펫페어 서울 2020,서울특별시 강남구 남부순환로 3104,02-6121-6396~8,2020-06-26,2020-06-28,37.4957363721,127.0719811806
1170,코리아 그랜드 세일 2020,서울특별시 종로구 인사동5길 29,02-6272-7300,2020-01-16,2020-02-29,37.5720426096,126.9848758397
1171,코리아 먹켓 페스타 (KOREA MUK+KET FESTA) 2020,서울특별시 서초구 강남대로 27,02-449-5009,2020-06-05,2020-06-07,37.4683111849,127.0390127336
1172,코리아 창원 틴틴페스티벌 2019,경상남도 창원시 의창구 상남로 190 창원 용지문화공원,055-266-8680,2019-11-02,2019-11-02,35.2288856189,128.6876638495
1173,코리아 프리미어 도그쇼 2019,경기도 고양시 일산서구 킨텍스로 217-60 8B홀,02-2278-0661~2,2019-12-20,2019-12-22,37.6691714862,126.7461032221
1174,코리아 핀테크 위크 2019,서울특별시 중구 을지로 281,02-2152-5053,2019-05-23,2019-05-24,37.5709987057,127.0082154087
1175,코리아드라마페스티벌 2019,경상남도 진주시 남강로 626,055-755-2363,2019-10-01,2019-10-13,35.1935119571,128.0780681464
1176,키젝스 (키즈&키덜트 페스티벌) 2019,충청북도 청주시 흥덕구 강내면 월곡길 38,1670-4860,2019-06-15,2019-06-16,36.6206732369,127.3675872123
1177,키즈락 페스티벌 2020,경기도 고양시 일산서구 킨텍스로 217-59,031-995-8178,2020-12-24,2020-12-27,37.6649608187,126.7434785815
1178,탐라문화제 2019,제주특별자치도 제주시 일도1동 1146-22,064-753-3287<br>064-725-3287,2019-10-09,2019-10-13,33.5130456151,126.5279252356
1179,태백 철암단풍축제 2019,강원도 태백시 동태백로 584,033-550-2828,2019-10-11,2019-10-13,37.1221551452,129.0422145682
1180,태백 해바라기축제 2020,강원도 태백시 구와우길 38-20,033-553-9707,2020-07-24,2020-08-16,37.2069499483,128.9896000402
1181,태백산눈축제 2020,강원도 태백시 천제단길 162,033-550-2085,2020-01-10,2020-01-19,37.1203508223,128.9513838396
1182,태안 가을꽃 축제 2019,충청남도 태안군 안면읍 꽃지해안로 400,041-675-5533,2019-09-27,2019-10-27,36.5011689948,126.3367943161
1183,태안 국제모래조각 페스티벌 2019,충청남도 태안군 원북면 신두해변길 201-54,-,2019-07-13,2019-07-14,36.8425855403,126.1945065651
1184,태안 빛축제 2020,충청남도 태안군 남면 마검포길 200,041-675-9200,2020-01-01,2020-12-31,36.6151330244,126.2998807800
1185,태안 세계튤립공원 2020,충청남도 태안군 안면읍 꽃지해안로 400,041-675-5533,2020-04-14,2020-05-11,36.5011023351,126.3367804299
1186,태안 수선화 정원 2020,충청남도 태안군 남면 마검포길 200,041-675-9200,2020-04-06,2020-04-26,36.6151330244,126.2998807800
1187,태안 알리움 공원 2020,충청남도 태안군 안면읍 꽃지해안로 400,041-675-5533,2020-05-12,2020-06-02,36.5011023351,126.3367804299
1188,태안거리축제 2019,충청남도 태안군 태안읍 중앙로 65 일원,010-5431-9852,2019-10-12,2019-10-12,36.7543891343,126.2965996359
1189,태안연꽃축제 2019,충청남도 태안군 남면 연꽃길 70,041-675-0656,2019-06-29,2019-08-24,36.6865664156,126.2973902397
1190,태화강국제설치미술제 2019,울산광역시 남구 북부순환도로 17,052-220-0611,2019-10-18,2019-10-27,35.5517322564,129.2653794980
1191,토요명품공연 2020,서울특별시 서초구 남부순환로 2364,02-580-3300,2020-01-04,2020-12-26,37.4776567975,127.0097651306
1192,토요상설무대 프러포즈 2019,경상남도 사천시 사천대로 17,055-835-6492~7,2019-06-29,2019-09-12,34.9324074867,128.0521355863
1193,토요애 의령 농특산물 축제 2019,경상남도 의령군 의령읍 의합대로 28,055-570-4110~4,2019-11-09,2019-11-10,35.3193292641,128.2843633787
1194,토지문학제 2019,경상남도 하동군 악양면 평사리길 76-23,055-880-2363,2019-10-12,2019-10-13,35.1556260241,127.6884811231
1195,통영 어린이날 바다축제 2019,경상남도 통영시 도남동,"1577-0557, 055-650-4681",2019-05-05,2019-05-05,34.8256845355,128.4334356588
1196,통영 해맞이 2020,경상남도 통영시 멘데해안길 205,055-650-4032,2020-01-01,2020-01-01,34.8442437107,128.4412011620
1197,통영연극예술축제 2020,경상남도 통영시 남망공원길 29,055-645-6379,2020-10-23,2020-11-01,34.8423159245,128.4286717482
1198,파로호 겨울축제 2020,강원도 화천군 간동면 모현동로 114,033-441-8555,2020-01-27,2020-02-16,38.0442275568,127.7963575368
1199,파주 송어 축제 2020,경기도 파주시 광탄면 부흥로 194-42,1522-1531,2020-01-04,2020-02-02,37.8009083125,126.8678189133
1200,파주 헤이리 판 아트 페스티벌 2019,경기도 파주시 탄현면 헤이리마을길 82-105,031-946-8551,2019-06-22,2019-10-31,37.7880596528,126.7036704153
1201,파주장단콩축제 2019,경기도 파주시 문산읍 임진각로 177,031-940-5282,2019-11-22,2019-11-24,37.8895206871,126.7401503034
1202,파주출판도시 어린이책잔치 2019,경기도 파주시 회동길 145,031-955-0062,2019-05-03,2019-05-05,37.7086519413,126.6866936546
1203,파주포크페스티벌 2019,경기도 파주시 문산읍 마정리 618-13,031-931-6666,2019-09-07,2019-09-07,37.8934009494,126.7490771525
1204,판타스틱(Fanta-Stick),서울특별시 종로구 대학로 146 석정홀딩스,02-3143-5959,2020-01-01,2020-12-31,37.5843109371,127.0020489267
1205,팔공산 산중전통장터 승시축제 2019,대구광역시 동구 동화사1길 1,053-980-7956,2019-10-03,2019-10-06,35.9864587718,128.7022944448
1206,팔마문화제 2019,"전라남도 순천시 팔마로 333 문화의거리, 조례호수공원, 신대 생태회랑등",061-749-3114,2019-10-17,2019-10-19,34.9553644339,127.4831043089
1207,팜카밀레 허브축제 2020,충청남도 태안군 남면 우운길 56-19,041-675-3636,2020-06-05,2020-07-25,36.6867550167,126.2817972022
1208,팜파스 축제 2019,충청남도 태안군 남면 연꽃길 70,041-675-0656,2019-08-15,2019-11-24,36.6865664156,126.2973902397
1209,팡팡 프레이즈 페스타 인 칠포 2019,경북 포항시 북구 흥해읍 칠포해수욕장,010-6606-1474,2019-08-16,2019-08-17,36.1072432438,129.3416930615
1210,퍼스트가든 국화축제 2020,경기도 파주시 탑삭골길 260,031-957-6861,2020-10-16,2020-11-22,37.7326982908,126.7949886250
1211,퍼스트가든 봄꽃축제 - 블루밍가든 2020,경기도 파주시 탑삭골길 260,031-957-6861,2020-04-10,2020-05-10,37.7326982908,126.7949886250
1212,퍼스트가든 빛축제 - 별빛이 흐르는 정원 2020,경기도 파주시 탑삭골길 260,031-957-6861,2019-12-01,2020-12-31,37.7326399636,126.7949386312
1213,퍼스트가든 장미축제 2020,경기도 파주시 탑삭골길 260,031-957-6861,2020-05-22,2020-08-23,37.7326982908,126.7949886250
1214,페인터즈: 히어로,서울특별시 종로구 돈화문로 13,02-766-7848,2020-01-01,2020-12-31,37.5696846720,126.9916475119
1215,페인터즈: 히어로 (제주),제주특별자치도 제주시 애월읍 평화로 2715,064-745-7848,2020-01-01,2020-12-31,33.4483679584,126.4346570299
1216,펫터파크: PETCATION 2019,서울특별시 광진구 광나루로 441,1522-9223,2019-08-23,2019-08-25,37.5470527467,127.0781902704
1217,평창 곤드레축제 2019,강원도 평창군 평창읍 대골길 5번지,산채으뜸마을 이장님 010-3956-9214<br />산채으뜸마을 사무장 010-3337-5366,2019-05-04,2019-05-05,37.3129587549,128.3444547016
1218,평창 노산문화제 2019,강원 평창군 평창읍 종부리,033-334-9898,2019-10-07,2019-10-08,37.3600514210,128.3907130332
1219,평창 허브나라 가을축제 2019,강원도 평창군 봉평면 흥정계곡길 225,033-335-2902,2019-10-05,2019-10-13,37.6390821263,128.3411258270
1220,평창국제평화영화제 2020,강원 평창군 대관령면 횡계리 707,033-244-5500,2020-06-18,2020-06-23,37.6712604185,128.7071418322
1221,평창대관령음악제 2020,강원도 평창군 대관령면 솔봉로 325,033-240-1363,2020-07-22,2020-08-08,37.6646525475,128.6915128866
1222,평창세계문화오픈대회(베터투게더챌린지) 2019,강원도 평창군 대관령면 횡계리 344-86,02-6958-8861,2019-10-03,2019-10-05,37.6695661481,128.7060030976
1223,평창평화뮤직페스티벌 2019,강원도 평창군 대관령면 올림픽로 220,070-4353-0257,2019-08-02,2019-08-03,37.6669053592,128.7067558891
1224,평택시 오산비행장 에어쇼 어울림콘서트 2019,경기도 평택시 신장로 159-3,031-667-2353 송탄국제교류센터,2019-09-21,2019-09-21,37.0892719735,127.0516999712
1225,평화:울림 아리랑 세계 대축전 2019,강원도 고성군 현내면 통일전망대로 369,강원도 평화지역문화과 033-249-3947,2019-08-16,2019-08-17,38.5763766314,128.3827237217
1226,포천 백운계곡 동장군축제 2020,경기도 포천시 이동면 화동로 2381,031-535-7242,2020-01-04,2020-02-02,38.0694312305,127.4056896871
1227,포항 구룡포과메기와 함께하는 영일대 해맞이 행사 2020,경상북도 포항시 북구 두호동 685-1 (영일대 해수욕장 일원),포항시 수산진흥과 054-270-2853,2019-12-31,2020-01-01,36.0573218107,129.3781024219
1228,포항 모래조각 페스티벌 2019,경상북도 포항시 북구 해안로 82,해양산업과 054-270-2844,2019-06-29,2019-07-08,36.0560552863,129.3780607951
1229,포항 벤토머드 페스티벌 2019,경상북도 포항시 북구 해안로 87,054-614-0001,2019-07-25,2019-07-28,36.0566329911,129.3776441483
1230,포항구룡포 과메기 축제 2019,경상북도 포항시 남구 구룡포읍 아라광장 일원,포항시 수산진흥과 054-270-2853,2019-11-09,2019-11-10,35.9851526272,129.5460536807
1231,포항스틸아트페스티벌 2019,경상북도 포항시 북구 선착로 78,054-289-7852~7858,2019-09-07,2019-09-28,36.0484671345,129.3717060172
1232,표선해비치해변 하얀모래축제 2019,제주특별자치도 서귀포시 표선면 표선리,064-760-4414,2019-08-04,2019-08-05,33.3227744104,126.8395247602
1233,푸드페스타 2019,서울특별시 종로구 세종대로 172,070-7860-0244,2019-05-01,2019-05-01,37.5752198371,126.9747822252
1234,품앗이공연예술축제 2020,경기도 화성시 우정읍 이화뱅곳길 22,031-358-7587,2020-08-19,2020-08-23,37.0397676497,126.7980354195
1235,프리미엄 펫쇼 2020,경기도 고양시 일산서구 킨텍스로 217-59,02-6012-8577,2020-06-12,2020-06-14,37.6650330327,126.7435146865
1236,프리미엄펫쇼 2019,서울특별시 서초구 강남대로 27,02-6012-8577,2019-06-07,2019-06-09,37.4700220704,127.0375100442
1237,플라잉(FLYing),경상북도 경주시 경감로 614,054-775-0815,2019-04-01,2019-11-30,35.8315650725,129.2892916998
1238,피란수도 부산 문화재 야행 2020,부산광역시 서구 임시수도기념로,070-5154-9944,2020-08-21,2020-08-22,35.1032530039,129.0196549929
1239,피향정 문화축제 2019,전북 정읍시 태인면 태창리,정읍시 문화예술과 063-539-5171,2019-07-20,2019-07-20,35.6516320288,126.9431592255
1240,필리핀영화제 2019,부산광역시 해운대구 좌동로 162,051-775-2026,2019-09-20,2019-09-22,35.1751785093,129.1820888976
1241,필봉 GOOD보러 가세 2019,전라북도 임실군 강진면 강운로 272,"임실필봉농악보존회 063-643-1902, 2901",2019-04-18,2019-10-17,35.5363792923,127.1542878904
1242,필봉마을굿 축제 2019,전라북도 임실군 강진면 강운로 272,063-643-1902,2019-08-15,2019-08-18,35.5363792923,127.1542878904
1243,하나투어 여행박람회 (HANATOUR International Travel Show) 2019,경기도 고양시 일산서구 킨텍스로 217-59,하나투어 여행박람회 사무국 031-995-8630,2019-06-07,2019-06-09,37.6677493451,126.7414009142
1244,하나투어와 함께하는 전국 대부해솔길 걷기축제 2019,경기도 안산시 단원구 선감로 255,(사)안산시관광협의회 1899-1720,2019-10-26,2019-10-26,37.2151973856,126.6421364305
1245,하남이성산성문화축제 2020,경기도 하남시 미사대로 505,031-790-7921,2020-09-19,2020-09-20,37.5536599743,127.2132361251
1246,하늘공원해맞이행사 2020,서울특별시 마포구 하늘공원로 95,02-3153-8353,2020-01-01,2020-01-01,37.5671914042,126.8860710958
1247,하동 리버사이드 워터파크 2020,경상남도 하동군 하동읍 광평리 49번지,010-3526-8045,2020-08-05,2020-08-30,35.0582575579,127.7533973843
1248,"하동 화개장터,최참판댁 주말문화공연 2019",경상남도 하동군 화개면 쌍계로 15,055-880-2362~2365,2019-03-01,2019-11-30,35.1879851446,127.6240887269
1249,하동북천 코스모스 메밀꽃 축제 2020,경상남도 하동군 북천면 직전1길 7,055-880-6331,2020-09-18,2020-10-04,35.1085651671,127.8763352905
1250,하동악양대봉감축제 2019,경상남도 하동군 악양면 평사리 평사리공원,악양면청년회 055-883-5530,2019-11-01,2019-11-03,35.1467380772,127.6851177601
1251,하소백련축제 2019,전라북도 김제시 청하면 월현4길 70-13,063-542-8391,2019-07-12,2019-07-21,35.8723389315,126.8662492685
1252,하이원 하늘길 트레킹 페스티벌 2019,강원도 정선군 고한읍 하이원길 265,02-790-3995,2019-10-19,2019-10-19,37.2094520993,128.8278033201
1253,하하야 놀자 2019,경상북도 포항시 남구 축항로 43-17,054-289-7874,2019-07-06,2019-08-24,36.0294220817,129.3725120535
1254,하회별신굿탈놀이 상설공연 2020,경상북도 안동시 풍천면 하회종가길 3-15,054-854-3664,2020-01-01,2020-12-31,36.5409451627,128.5243722237
1255,한-러 수교 30주년 기념 디지털 아트 동화 특별전 2019,제주특별자치도 제주시 애월읍 애월해안로 516-7,064-799-7578,2019-11-03,2020-11-02,33.4773135604,126.3592296033
1256,한-아세안 애니메이션&어린이 영화상영회 2019,부산광역시 해운대구 좌동로 162,051-775-2026,2019-06-01,2019-07-21,35.1782392356,129.1798112336
1257,한·아세안 푸드 스트리트 2019,부산광역시 부산진구 전포대로209번길 26,051-501-6050,2019-11-15,2019-11-27,35.1564006288,129.0629164444
1258,한강 서래섬 메밀꽃축제 2019,서울특별시 서초구 신반포로11길 40,02-3780-0777,2019-10-05,2019-10-06,37.5079779213,126.9899327466
1259,한강나이트워크42K 2020,서울특별시 영등포구 여의동로 280,070-4705-2008,2020-08-15,2020-08-16,37.5277830039,126.9368897969
1260,한강자전거한바퀴 2019,서울특별시 영등포구 여의도동 여의도 한강공원 멀티플라자,02-6462-9816,2019-08-15,2019-08-15,37.5313906915,126.9242325153
1261,한강하구 평화이야기 겨울 프로그램 2019,경기도 고양시 덕양구 행주외동 500 행주산성 역사공원,031-8075-3404,2019-12-14,2019-12-15,37.6063771172,126.8078493512
1262,한국국제걷기대회 2020,서울특별시 송파구 충민로 66,02-2274-7077,2020-10-24,2020-10-25,37.4776699781,127.1249713174
1263,한국국제아트페어 2020,서울특별시 강남구 영동대로 513,02-733-3706~8,2020-09-25,2020-09-27,37.5118092746,127.0591318945
1264,한국민속예술제 2020,충청남도 공주시 고마나루길 90,02-580-3283,2020-10-08,2020-10-11,36.4666363013,127.1075869625
1265,한국민속촌 가을축제 '신묘한 마을' 2019,경기도 용인시 기흥구 민속촌로 90,031-288-2933,2019-09-12,2019-11-17,37.2622253857,127.1184335446
1266,한국민속촌 새해야 이리오너라 2020,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2020-01-24,2020-02-09,37.2593868634,127.1205445440
1267,한국민속촌 양기철철 단오 2019,경기도 용인시 기흥구 민속촌로 90,"031-288-0000, 2933",2019-06-06,2019-06-09,37.2593868634,127.1205445440
1268,한국민속촌 웰컴투조선 2020,경기도 용인시 기흥구 민속촌로 90,031-288-2931,2020-04-30,2020-06-28,37.2593868634,127.1205445440
1269,한국민속촌 조선하지로다 2020,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2020-07-11,2020-08-23,37.2593868634,127.1205445440
1270,한국민속촌 한가위 좋을씨고 2019,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2019-09-12,2019-09-15,37.2593868634,127.1205445440
1271,한국민속촌 '그해 시골 여름' 2019,경기도 용인시 기흥구 민속촌로 90,031-288-2933,2019-07-06,2019-08-25,37.2594535228,127.1205723175
1272,한국민속촌 '달빛을 더하다' 2020,경기도 용인시 기흥구 민속촌로 90,031-288-2933,2020-07-10,2020-11-01,37.2594535228,127.1205723175
1273,한국민속촌 '설원의 사냥꾼' 2020,경기도 용인시 기흥구 민속촌로 90,031-288-0000,2019-12-14,2020-02-23,37.2593868634,127.1205445440
1274,한국민속촌 '추억의 그때 그 놀이' 2020,경기도 용인시 기흥구 민속촌로 90,031-288-2933,2019-11-30,2020-04-26,37.2593868634,127.1205445440
1275,한국음식관광박람회 2020,서울특별시 서초구 강남대로 27,02-737-2210,2020-09-09,2020-09-11,37.4686111452,127.0387710802
1276,한국의집 전통예술공연,서울특별시 중구 퇴계로36길 10,02-2266-9101~3,2020-01-01,2020-12-31,37.5601774962,126.9945752914
1277,한국전통문화전당 주간 '전통으로 通(통)하다' 2019,전라북도 전주시 완산구 현무1길 20,063-281-1500,2019-10-03,2019-10-13,35.8205552500,127.1482366005
1278,한국중고자동차페스티벌 2020,서울특별시 중구 세종대로 124,02-6331-6660,2020-09-17,2020-09-19,37.5674402409,126.9778599422
1279,한국청소년축제 2020,강원도 원주시 단구로 170,033-765-3704,2020-10-31,2020-10-31,37.3363874827,127.9464176429
1280,한글가족축제 2019,서울특별시 용산구 서빙고로 139 국립한글박물관,02-2124-6291,2019-10-05,2019-10-09,37.5212345536,126.9809331917
1281,한글문화예술제 2019,울산광역시 중구 문화의거리 일원,052-716-5007,2019-10-09,2019-10-12,35.5558606156,129.3209995277
1282,한글문화큰잔치 2019,서울특별시 종로구 세종대로 지하 172,02-537-8190,2019-10-08,2019-10-09,37.5727035021,126.9769709861
1283,한려수도 굴축제 2019,경상남도 통영시 통영해안로 328,055-645-4513~4,2019-03-30,2019-03-30,34.8438295639,128.4241721001
1284,한림공원 국화축제 2019,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2019-11-08,2019-11-24,33.3897241270,126.2381087692
1285,한림공원 꽃무릇축제 2019,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2019-09-23,2019-09-29,33.3902018773,126.2397419496
1286,한림공원 매화축제 2020,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2020-02-01,2020-02-29,33.3902018773,126.2397419496
1287,한림공원 부겐빌레아 꽃축제 2020,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2020-05-15,2020-06-14,33.3902018773,126.2397419496
1288,한림공원 수국축제 2020,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2020-06-12,2020-06-28,33.3902018773,126.2397419496
1289,한림공원 수선화축제 2020,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2020-01-17,2020-02-16,33.3897241270,126.2381087692
1290,한림공원 연꽃축제 2020,제주특별자치도 제주시 한림읍 한림로 300 한림공원,064-796-0001,2020-07-17,2020-08-30,33.3902018773,126.2397419496
1291,한림공원 튤립축제 2020,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2020-03-27,2020-04-19,33.3897241270,126.2381087692
1292,한마음 걷기축제 2019,서울특별시 마포구 월드컵로 240,070-5056-5253,2019-10-27,2019-10-27,37.5699440931,126.8990115045
1293,한마음 치매극복 전국걷기행사 2019,서울특별시 광진구 강변북로 139,1899-9988,2019-03-30,2019-05-25,37.5293380619,127.0739744904
1294,한복입은 봄 페스티벌 2019,울산광역시 중구 내오산로 67,010-5053-0062,2019-05-18,2019-05-19,35.5533046338,129.2830667988
1295,한산소곡주 축제 2019,충청남도 서천군 한산면 충절로1173번길 22,041-950-6889,2019-10-25,2019-10-27,36.0848191893,126.8050603202
1296,한양도성문화제 2020,서울특별시 중구 회현동1가 100-267,070-7462-1106,2020-10-09,2020-10-10,37.5539085600,126.9823071428
1297,한여름 밤의 신정호 별빛축제 2020,충청남도 아산시 신정로 616,041-532-1820,2020-08-01,2020-08-15,36.7715352005,126.9839592682
1298,한여름밤의 축제 '자원관이 살아있다' 2019,경상북도 상주시 도남2길 137,054-530-0771,2019-07-30,2019-08-04,36.4456093881,128.2554321902
1299,한일축제한마당 in Seoul 2020,온라인개최,02-702-7775,2020-09-20,2020-09-20,37.5117592813,127.0591874466
1300,한택식물원 봄꽃페스티벌 2019,경기도 용인시 처인구 백암면 한택로 2,031-333-3558,2019-04-27,2019-05-26,37.0940611782,127.4097674681
1301,함께 걷자 인천 페스타 2019,인천광역시 남동구 무네미로 236,032-810-1315~8,2019-04-20,2019-04-20,37.4576739190,126.7492727502
1302,함께서울 정책박람회 2019,서울특별시 중구 태평로2가 17-3,070-4498-8542,2019-09-20,2019-09-21,37.5653988094,126.9777155697
1303,함양 천령문화제 2019,경상남도 함양군 함양읍 필봉산길 49,함양군청 문화관광과 055-960-5114,2019-10-04,2019-10-06,35.5243377429,127.7197909447
1304,합강문화제 2019,강원도 인제군 인제읍 비봉로44번길 100,033-460-2081,2019-10-11,2019-10-13,38.0769783436,128.1861960411
1305,합천 바캉스축제 2019,경상남도 합천군 대양면 동부로 39-13,055-930-4665~4668,2019-07-26,2019-07-30,35.5569225788,128.1666978954
1306,합천기록문화축제 2019,경남 합천군 가야면 야천리 996,055-930-4695,2019-10-19,2019-11-03,35.7649207179,128.1357977688
